id_condicao,condicao_metereologica,tipo_pista,tracado_via,uso_solo,sentido_via
37,Nublado,Simples,Reta,Não,Decrescente
38,Céu Claro,Simples,Curva;Declive,Não,Decrescente
39,Nublado,Simples,Reta,Sim,Decrescente
40,Nublado,Dupla,Reta,Sim,Decrescente
41,Nublado,Dupla,Reta;Declive,Não,Crescente
42,Céu Claro,Simples,Em Obras;Desvio Temporário;Reta,Não,Decrescente
43,Céu Claro,Simples,Aclive;Interseção de Vias;Reta,Não,Crescente
44,Sol,Múltipla,Aclive;Reta,Sim,Decrescente
45,Nublado,Dupla,Aclive;Retorno Regulamentado,Sim,Crescente
46,Céu Claro,Simples,Curva;Aclive,Não,Decrescente
47,Céu Claro,Dupla,Reta,Sim,Decrescente
48,Ignorado,Dupla,Reta,Não,Decrescente
49,Nublado,Simples,Reta,Não,Crescente
50,Céu Claro,Dupla,Reta,Sim,Crescente
51,Céu Claro,Simples,Curva;Declive,Não,Crescente
52,Céu Claro,Simples,Aclive;Reta,Não,Decrescente
53,Ignorado,Múltipla,Reta,Sim,Crescente
54,Chuva,Simples,Reta,Não,Crescente
55,Nublado,Dupla,Curva,Não,Decrescente
56,Garoa/Chuvisco,Simples,Reta,Não,Decrescente
57,Chuva,Simples,Curva;Aclive,Não,Decrescente
58,Chuva,Simples,Curva,Não,Crescente
59,Chuva,Simples,Curva;Declive,Não,Crescente
60,Nublado,Dupla,Declive;Reta,Não,Decrescente
61,Céu Claro,Dupla,Curva,Não,Crescente
62,Chuva,Dupla,Reta,Não,Decrescente
63,Nublado,Simples,Reta;Aclive,Não,Crescente
64,Céu Claro,Dupla,Interseção de Vias;Rotatória,Sim,Decrescente
65,Sol,Dupla,Reta,Não,Decrescente
66,Sol,Simples,Reta,Não,Decrescente
67,Céu Claro,Simples,Reta;Aclive,Não,Decrescente
68,Céu Claro,Simples,Aclive;Reta,Não,Crescente
69,Céu Claro,Dupla,Aclive;Reta,Não,Decrescente
70,Céu Claro,Dupla,Curva,Sim,Decrescente
71,Nublado,Dupla,Curva;Declive,Não,Decrescente
72,Ignorado,Simples,Reta;Interseção de Vias,Não,Decrescente
73,Céu Claro,Simples,Declive;Curva;Interseção de Vias,Sim,Decrescente
74,Chuva,Simples,Reta;Declive,Não,Decrescente
75,Nublado,Simples,Curva;Declive,Não,Decrescente
76,Céu Claro,Simples,Reta;Ponte,Não,Crescente
77,Nublado,Simples,Declive;Reta,Não,Crescente
78,Céu Claro,Múltipla,Curva,Sim,Crescente
79,Nublado,Simples,Declive;Reta,Não,Decrescente
80,Sol,Dupla,Declive;Reta,Não,Crescente
81,Céu Claro,Dupla,Ponte;Curva,Não,Decrescente
82,Céu Claro,Múltipla,Reta,Não,Crescente
83,Sol,Simples,Interseção de Vias,Não,Decrescente
84,Céu Claro,Múltipla,Aclive;Reta,Não,Crescente
85,Céu Claro,Dupla,Reta;Aclive,Não,Decrescente
86,Céu Claro,Simples,Interseção de Vias;Reta;Rotatória,Sim,Crescente
87,Céu Claro,Dupla,Curva;Declive,Não,Crescente
88,Céu Claro,Simples,Reta;Declive,Não,Crescente
89,Nublado,Simples,Declive;Curva,Não,Crescente
90,Chuva,Simples,Reta,Sim,Decrescente
91,Céu Claro,Simples,Rotatória;Interseção de Vias,Não,Decrescente
92,Nublado,Simples,Aclive;Reta,Não,Crescente
93,Céu Claro,Simples,Interseção de Vias,Não,Crescente
94,Sol,Simples,Curva,Não,Decrescente
95,Céu Claro,Múltipla,Reta,Não,Decrescente
96,Céu Claro,Simples,Declive;Reta,Não,Decrescente
97,Chuva,Dupla,Reta,Não,Crescente
98,Nublado,Simples,Interseção de Vias;Reta,Sim,Crescente
99,Nevoeiro/Neblina,Simples,Declive;Reta,Não,Decrescente
100,Nublado,Dupla,Reta,Não,Crescente
101,Garoa/Chuvisco,Simples,Curva,Não,Decrescente
102,Céu Claro,Múltipla,Reta,Sim,Crescente
103,Céu Claro,Simples,Reta,Sim,Decrescente
104,Céu Claro,Dupla,Declive;Curva,Não,Crescente
105,Garoa/Chuvisco,Simples,Curva;Declive,Não,Crescente
106,Sol,Dupla,Reta,Não,Crescente
107,Céu Claro,Múltipla,Reta;Em Obras,Não,Decrescente
108,Céu Claro,Múltipla,Retorno Regulamentado;Reta,Não,Crescente
109,Sol,Simples,Aclive;Reta,Não,Crescente
110,Nublado,Simples,Curva,Não,Decrescente
111,Céu Claro,Simples,Curva;Aclive,Sim,Decrescente
112,Nublado,Múltipla,Reta,Sim,Crescente
113,Sol,Simples,Curva;Aclive,Não,Decrescente
114,Céu Claro,Múltipla,Reta;Em Obras,Sim,Crescente
115,Nublado,Simples,Aclive;Retorno Regulamentado;Curva,Não,Decrescente
116,Céu Claro,Dupla,Aclive,Não,Decrescente
117,Chuva,Dupla,Reta;Aclive,Não,Crescente
118,Nublado,Dupla,Viaduto,Não,Crescente
119,Céu Claro,Dupla,Declive;Reta;Ponte,Não,Crescente
120,Garoa/Chuvisco,Dupla,Reta,Sim,Decrescente
121,Garoa/Chuvisco,Dupla,Curva,Sim,Decrescente
122,Céu Claro,Simples,Reta;Aclive,Não,Crescente
123,Céu Claro,Dupla,Interseção de Vias,Sim,Decrescente
124,Garoa/Chuvisco,Dupla,Curva,Não,Crescente
125,Ignorado,Simples,Reta,Não,Decrescente
126,Garoa/Chuvisco,Dupla,Reta,Não,Decrescente
127,Garoa/Chuvisco,Dupla,Curva;Declive,Não,Decrescente
128,Chuva,Simples,Declive;Reta,Não,Crescente
129,Céu Claro,Dupla,Viaduto;Declive;Reta,Sim,Decrescente
130,Nublado,Dupla,Declive;Reta,Não,Crescente
131,Céu Claro,Simples,Aclive;Curva,Não,Decrescente
132,Céu Claro,Dupla,Em Obras;Reta,Sim,Crescente
133,Garoa/Chuvisco,Dupla,Curva,Sim,Crescente
134,Chuva,Dupla,Reta;Declive,Não,Decrescente
135,Nublado,Múltipla,Em Obras;Reta;Declive,Sim,Decrescente
136,Nublado,Dupla,Curva,Sim,Decrescente
137,Chuva,Dupla,Reta;Declive,Não,Crescente
138,Céu Claro,Dupla,Reta;Em Obras,Sim,Decrescente
139,Chuva,Simples,Aclive,Sim,Decrescente
140,Chuva,Simples,Curva,Não,Decrescente
141,Nublado,Simples,Aclive,Sim,Crescente
142,Nublado,Simples,Rotatória,Não,Decrescente
143,Chuva,Simples,Reta,Não,Decrescente
144,Céu Claro,Dupla,Rotatória,Sim,Decrescente
145,Chuva,Dupla,Reta;Ponte;Declive,Não,Crescente
146,Nublado,Simples,Rotatória,Sim,Decrescente
147,Nublado,Múltipla,Reta,Sim,Decrescente
148,Chuva,Simples,Reta,Sim,Crescente
149,Nublado,Múltipla,Reta,Não,Decrescente
150,Garoa/Chuvisco,Dupla,Reta,Não,Crescente
151,Garoa/Chuvisco,Simples,Declive;Reta,Não,Crescente
152,Garoa/Chuvisco,Simples,Curva;Declive,Não,Decrescente
153,Sol,Simples,Aclive,Não,Decrescente
154,Chuva,Dupla,Reta,Sim,Decrescente
155,Chuva,Dupla,Curva,Não,Crescente
156,Céu Claro,Dupla,Declive;Curva,Não,Decrescente
157,Céu Claro,Dupla,Aclive;Reta,Não,Crescente
158,Céu Claro,Múltipla,Reta,Sim,Decrescente
159,Céu Claro,Simples,Declive;Curva,Não,Crescente
160,Garoa/Chuvisco,Simples,Curva,Não,Crescente
161,Céu Claro,Dupla,Declive;Reta,Não,Decrescente
162,Chuva,Dupla,Declive;Reta,Não,Decrescente
163,Sol,Simples,Em Obras;Reta,Não,Crescente
164,Céu Claro,Múltipla,Curva;Declive,Não,Decrescente
165,Nublado,Simples,Aclive,Não,Decrescente
166,Nublado,Dupla,Reta;Declive,Sim,Crescente
167,Garoa/Chuvisco,Múltipla,Reta,Não,Crescente
168,Chuva,Dupla,Retorno Regulamentado;Reta,Não,Crescente
169,Nublado,Dupla,Declive;Reta,Sim,Crescente
170,Nublado,Dupla,Aclive;Curva,Não,Decrescente
171,Céu Claro,Simples,Declive,Não,Decrescente
172,Nublado,Dupla,Aclive;Curva,Não,Crescente
173,Nublado,Dupla,Curva;Declive,Sim,Crescente
174,Nublado,Dupla,Declive,Sim,Crescente
175,Céu Claro,Dupla,Curva,Não,Decrescente
176,Ignorado,Simples,Curva,Não,Crescente
177,Céu Claro,Simples,Reta;Declive,Sim,Crescente
178,Sol,Simples,Reta,Sim,Crescente
179,Nublado,Simples,Curva;Declive,Não,Crescente
180,Chuva,Simples,Aclive;Reta,Sim,Decrescente
181,Nublado,Dupla,Retorno Regulamentado;Reta,Não,Crescente
182,Céu Claro,Simples,Declive;Curva,Não,Decrescente
183,Nublado,Simples,Curva,Sim,Crescente
184,Chuva,Simples,Desvio Temporário,Não,Crescente
185,Céu Claro,Simples,Interseção de Vias,Sim,Crescente
186,Nublado,Dupla,Declive,Sim,Decrescente
187,Garoa/Chuvisco,Simples,Aclive;Curva,Não,Decrescente
188,Nublado,Dupla,Aclive;Reta,Não,Decrescente
189,Nublado,Simples,Curva;Declive,Sim,Decrescente
190,Nublado,Dupla,Reta;Declive,Não,Decrescente
191,Céu Claro,Múltipla,Reta;Viaduto,Sim,Decrescente
192,Nublado,Dupla,Curva,Não,Crescente
193,Céu Claro,Dupla,Reta;Aclive,Não,Crescente
194,Nublado,Múltipla,Interseção de Vias,Não,Crescente
195,Chuva,Dupla,Retorno Regulamentado,Sim,Crescente
196,Garoa/Chuvisco,Simples,Reta,Não,Crescente
197,Céu Claro,Simples,Reta;Interseção de Vias,Sim,Crescente
198,Céu Claro,Dupla,Interseção de Vias;Viaduto;Rotatória,Sim,Crescente
199,Céu Claro,Múltipla,Reta;Ponte,Sim,Decrescente
200,Nublado,Dupla,Aclive;Reta,Sim,Decrescente
201,Nublado,Simples,Declive,Não,Crescente
202,Céu Claro,Dupla,Curva;Aclive,Não,Crescente
203,Chuva,Dupla,Curva;Aclive,Não,Crescente
204,Céu Claro,Dupla,Rotatória;Interseção de Vias,Sim,Crescente
205,Nevoeiro/Neblina,Simples,Retorno Regulamentado;Reta,Não,Crescente
206,Nublado,Dupla,Reta;Declive,Sim,Decrescente
207,Chuva,Simples,Curva;Aclive,Não,Crescente
208,Céu Claro,Simples,Reta;Declive,Não,Decrescente
209,Céu Claro,Simples,Declive;Reta,Sim,Crescente
210,Sol,Simples,Reta;Interseção de Vias,Não,Crescente
211,Chuva,Simples,Reta;Aclive,Não,Crescente
212,Chuva,Simples,Declive;Reta;Ponte,Não,Decrescente
213,Chuva,Dupla,Ponte;Declive;Curva,Sim,Decrescente
214,Chuva,Dupla,Reta,Sim,Crescente
215,Garoa/Chuvisco,Simples,Declive;Reta,Sim,Decrescente
216,Nublado,Simples,Interseção de Vias,Sim,Decrescente
217,Nublado,Dupla,Curva,Sim,Crescente
218,Garoa/Chuvisco,Dupla,Aclive;Reta,Não,Crescente
219,Nublado,Simples,Retorno Regulamentado,Sim,Decrescente
220,Garoa/Chuvisco,Dupla,Declive;Reta,Sim,Crescente
221,Céu Claro,Simples,Reta;Retorno Regulamentado,Sim,Crescente
222,Nublado,Simples,Interseção de Vias,Não,Decrescente
223,Céu Claro,Dupla,Curva;Declive,Não,Decrescente
224,Céu Claro,Dupla,Em Obras;Reta,Sim,Decrescente
225,Chuva,Simples,Declive,Não,Decrescente
226,Chuva,Simples,Reta;Ponte,Não,Crescente
227,Nublado,Dupla,Reta;Aclive,Não,Crescente
228,Chuva,Dupla,Curva;Declive,Não,Decrescente
229,Chuva,Dupla,Curva;Declive,Sim,Crescente
230,Nublado,Dupla,Aclive;Reta,Não,Crescente
231,Nublado,Simples,Ponte,Sim,Decrescente
232,Sol,Múltipla,Em Obras;Reta,Sim,Crescente
233,Céu Claro,Simples,Declive;Reta,Sim,Decrescente
234,Garoa/Chuvisco,Dupla,Reta;Declive;Retorno Regulamentado;Interseção de Vias,Não,Crescente
235,Céu Claro,Simples,Rotatória,Não,Crescente
236,Nublado,Dupla,Retorno Regulamentado;Rotatória,Sim,Decrescente
237,Chuva,Simples,Interseção de Vias;Reta,Não,Decrescente
238,Céu Claro,Dupla,Aclive,Não,Crescente
239,Céu Claro,Simples,Reta;Em Obras,Sim,Crescente
240,Chuva,Simples,Reta;Retorno Regulamentado;Interseção de Vias,Sim,Decrescente
241,Nublado,Dupla,Declive;Retorno Regulamentado,Não,Decrescente
242,Chuva,Dupla,Declive,Não,Decrescente
243,Nublado,Simples,Curva;Interseção de Vias;Rotatória,Sim,Decrescente
244,Sol,Dupla,Curva;Retorno Regulamentado,Não,Crescente
245,Chuva,Dupla,Aclive;Retorno Regulamentado,Não,Crescente
246,Nublado,Dupla,Interseção de Vias;Reta,Sim,Decrescente
247,Chuva,Múltipla,Reta,Não,Crescente
248,Céu Claro,Simples,Em Obras;Curva,Não,Decrescente
249,Garoa/Chuvisco,Múltipla,Aclive;Curva,Não,Crescente
250,Garoa/Chuvisco,Dupla,Aclive;Reta,Não,Decrescente
251,Nublado,Simples,Aclive;Curva,Não,Decrescente
252,Céu Claro,Simples,Curva;Retorno Regulamentado,Sim,Decrescente
253,Céu Claro,Simples,Reta;Interseção de Vias,Não,Crescente
254,Garoa/Chuvisco,Simples,Reta;Declive,Não,Decrescente
255,Chuva,Dupla,Curva;Aclive,Não,Decrescente
256,Céu Claro,Múltipla,Retorno Regulamentado,Sim,Decrescente
257,Nublado,Múltipla,Reta;Em Obras,Sim,Crescente
258,Chuva,Múltipla,Reta,Sim,Crescente
259,Chuva,Simples,Interseção de Vias;Reta,Não,Crescente
260,Céu Claro,Simples,Curva;Aclive,Não,Crescente
261,Sol,Dupla,Retorno Regulamentado,Sim,Decrescente
262,Céu Claro,Dupla,Reta;Declive,Não,Crescente
263,Céu Claro,Dupla,Viaduto;Interseção de Vias;Rotatória,Sim,Decrescente
264,Nublado,Dupla,Retorno Regulamentado;Reta,Sim,Crescente
265,Chuva,Dupla,Declive;Curva,Não,Crescente
266,Céu Claro,Simples,Retorno Regulamentado,Sim,Crescente
267,Nublado,Simples,Retorno Regulamentado,Não,Decrescente
268,Ignorado,Múltipla,Interseção de Vias;Reta,Sim,Decrescente
269,Nublado,Dupla,Curva;Declive,Não,Crescente
270,Garoa/Chuvisco,Dupla,Curva,Não,Decrescente
271,Sol,Simples,Curva;Declive,Não,Decrescente
272,Nublado,Simples,Reta;Em Obras,Não,Decrescente
273,Céu Claro,Simples,Aclive,Sim,Crescente
274,Sol,Simples,Ponte;Reta,Não,Decrescente
275,Céu Claro,Dupla,Interseção de Vias;Reta,Sim,Crescente
276,Céu Claro,Múltipla,Aclive;Reta,Não,Decrescente
277,Nevoeiro/Neblina,Simples,Reta,Não,Crescente
278,Céu Claro,Simples,Curva;Rotatória,Sim,Decrescente
279,Céu Claro,Simples,Rotatória,Sim,Crescente
280,Céu Claro,Simples,Rotatória;Viaduto,Não,Decrescente
281,Sol,Simples,Declive;Reta,Não,Crescente
282,Céu Claro,Simples,Declive,Não,Crescente
283,Céu Claro,Dupla,Desvio Temporário;Em Obras;Reta,Sim,Decrescente
284,Céu Claro,Simples,Declive;Ponte;Curva,Não,Crescente
285,Céu Claro,Dupla,Aclive;Curva,Não,Crescente
286,Céu Claro,Simples,Rotatória;Em Obras,Sim,Crescente
287,Ignorado,Simples,Reta,Sim,Decrescente
288,Céu Claro,Simples,Declive;Reta;Em Obras,Não,Crescente
289,Céu Claro,Dupla,Curva;Declive,Sim,Decrescente
290,Sol,Dupla,Aclive;Reta,Não,Decrescente
291,Nublado,Simples,Reta;Declive,Não,Decrescente
292,Céu Claro,Simples,Interseção de Vias;Reta,Não,Decrescente
293,Sol,Simples,Reta,Sim,Decrescente
294,Sol,Simples,Curva,Sim,Decrescente
295,Ignorado,Dupla,Reta;Aclive,Não,Decrescente
296,Céu Claro,Dupla,Declive,Sim,Crescente
297,Céu Claro,Dupla,Curva;Declive,Sim,Crescente
298,Sol,Múltipla,Reta;Viaduto,Sim,Decrescente
299,Céu Claro,Simples,Reta;Em Obras,Não,Crescente
300,Céu Claro,Simples,Interseção de Vias;Rotatória,Sim,Crescente
301,Sol,Dupla,Reta;Declive,Não,Crescente
302,Céu Claro,Simples,Interseção de Vias;Reta,Sim,Decrescente
303,Sol,Dupla,Curva,Não,Crescente
304,Nublado,Múltipla,Reta,Não,Crescente
305,Nublado,Dupla,Interseção de Vias;Curva,Não,Crescente
306,Chuva,Dupla,Reta;Ponte,Não,Crescente
307,Chuva,Dupla,Declive;Reta,Sim,Decrescente
308,Céu Claro,Simples,Em Obras;Reta;Declive,Não,Crescente
309,Céu Claro,Dupla,Reta;Em Obras,Não,Decrescente
310,Nevoeiro/Neblina,Dupla,Reta;Aclive,Sim,Decrescente
311,Céu Claro,Dupla,Interseção de Vias;Rotatória,Sim,Crescente
312,Céu Claro,Simples,Reta;Rotatória,Sim,Decrescente
313,Sol,Dupla,Aclive,Não,Decrescente
314,Céu Claro,Dupla,Viaduto,Sim,Crescente
315,Sol,Dupla,Reta;Aclive,Não,Decrescente
316,Céu Claro,Dupla,Em Obras;Retorno Regulamentado;Reta,Não,Crescente
317,Sol,Dupla,Curva,Sim,Crescente
318,Sol,Simples,Viaduto;Declive;Reta,Sim,Decrescente
319,Chuva,Múltipla,Reta,Não,Decrescente
320,Nublado,Dupla,Interseção de Vias,Sim,Crescente
321,Céu Claro,Simples,Em Obras;Rotatória,Não,Decrescente
322,Chuva,Simples,Reta;Ponte;Declive,Sim,Crescente
323,Nublado,Dupla,Túnel;Curva,Não,Decrescente
324,Céu Claro,Simples,Curva;Em Obras,Sim,Crescente
325,Sol,Simples,Curva;Declive,Não,Crescente
326,Chuva,Dupla,Interseção de Vias,Sim,Decrescente
327,Céu Claro,Dupla,Aclive;Curva,Não,Decrescente
328,Sol,Dupla,Reta;Aclive,Não,Crescente
329,Ignorado,Múltipla,Reta,Sim,Decrescente
330,Céu Claro,Dupla,Desvio Temporário;Em Obras,Sim,Crescente
331,Céu Claro,Dupla,Reta;Declive,Não,Decrescente
332,Chuva,Simples,Declive;Reta,Não,Decrescente
333,Chuva,Simples,Declive;Interseção de Vias;Reta;Rotatória,Não,Crescente
334,Nublado,Múltipla,Reta;Em Obras,Sim,Decrescente
335,Nublado,Dupla,Declive,Não,Decrescente
336,Nublado,Simples,Declive;Curva;Rotatória,Sim,Crescente
337,Nublado,Dupla,Ponte;Reta,Não,Decrescente
338,Sol,Simples,Curva;Em Obras,Não,Decrescente
339,Garoa/Chuvisco,Múltipla,Reta,Sim,Crescente
340,Sol,Dupla,Reta,Sim,Decrescente
341,Céu Claro,Dupla,Curva,Sim,Crescente
342,Céu Claro,Dupla,Retorno Regulamentado,Não,Decrescente
343,Chuva,Dupla,Desvio Temporário,Não,Decrescente
344,Sol,Dupla,Declive;Reta,Sim,Crescente
345,Garoa/Chuvisco,Dupla,Aclive;Curva,Não,Crescente
346,Céu Claro,Dupla,Retorno Regulamentado;Interseção de Vias,Sim,Crescente
347,Chuva,Dupla,Curva,Sim,Decrescente
348,Garoa/Chuvisco,Simples,Reta,Sim,Decrescente
349,Chuva,Dupla,Declive,Não,Crescente
350,Céu Claro,Simples,Reta;Interseção de Vias,Sim,Decrescente
351,Chuva,Dupla,Curva,Sim,Crescente
352,Nublado,Simples,Reta;Interseção de Vias,Sim,Decrescente
353,Céu Claro,Simples,Reta;Interseção de Vias;Declive,Não,Crescente
354,Céu Claro,Simples,Rotatória,Não,Decrescente
355,Céu Claro,Simples,Interseção de Vias;Reta,Sim,Crescente
356,Chuva,Dupla,Em Obras;Declive;Curva,Não,Crescente
357,Céu Claro,Dupla,Retorno Regulamentado;Reta,Sim,Crescente
358,Garoa/Chuvisco,Dupla,Rotatória,Sim,Decrescente
359,Nublado,Simples,Interseção de Vias;Reta,Sim,Decrescente
360,Chuva,Simples,Rotatória,Não,Crescente
361,Garoa/Chuvisco,Dupla,Reta;Declive,Não,Decrescente
362,Céu Claro,Dupla,Em Obras;Reta,Não,Decrescente
363,Garoa/Chuvisco,Dupla,Em Obras;Reta,Não,Decrescente
364,Nevoeiro/Neblina,Dupla,Reta,Não,Crescente
365,Céu Claro,Simples,Reta;Aclive,Sim,Crescente
366,Sol,Dupla,Curva;Declive,Não,Crescente
367,Sol,Simples,Declive;Curva,Sim,Decrescente
368,Nublado,Simples,Curva;Aclive,Não,Crescente
369,Nublado,Múltipla,Curva,Sim,Crescente
370,Garoa/Chuvisco,Simples,Rotatória;Aclive,Sim,Decrescente
371,Céu Claro,Dupla,Desvio Temporário;Em Obras;Reta,Sim,Crescente
372,Céu Claro,Dupla,Declive,Não,Decrescente
373,Ignorado,Simples,Declive,Não,Crescente
374,Nublado,Simples,Rotatória,Sim,Crescente
375,Ignorado,Dupla,Reta;Declive,Não,Decrescente
376,Chuva,Simples,Declive;Ponte,Não,Decrescente
377,Chuva,Dupla,Rotatória,Não,Crescente
378,Garoa/Chuvisco,Múltipla,Reta,Não,Decrescente
379,Chuva,Múltipla,Viaduto;Reta,Sim,Decrescente
380,Céu Claro,Simples,Retorno Regulamentado;Rotatória;Reta,Não,Crescente
381,Céu Claro,Simples,Rotatória;Reta,Sim,Decrescente
382,Céu Claro,Múltipla,Curva;Declive,Sim,Decrescente
383,Nublado,Dupla,Curva;Rotatória,Sim,Crescente
384,Céu Claro,Dupla,Reta;Aclive,Sim,Decrescente
385,Céu Claro,Dupla,Reta;Ponte,Sim,Decrescente
386,Chuva,Simples,Declive;Curva,Não,Crescente
387,Céu Claro,Múltipla,Aclive;Reta;Viaduto,Sim,Crescente
388,Céu Claro,Dupla,Viaduto;Reta,Não,Crescente
389,Céu Claro,Simples,Declive,Sim,Crescente
390,Nublado,Dupla,Retorno Regulamentado;Reta,Não,Decrescente
391,Chuva,Simples,Declive,Não,Crescente
392,Chuva,Dupla,Aclive;Curva,Não,Decrescente
393,Nublado,Simples,Declive;Curva,Não,Decrescente
394,Nublado,Simples,Interseção de Vias;Aclive;Reta,Não,Crescente
395,Nublado,Dupla,Declive;Reta,Sim,Decrescente
396,Céu Claro,Simples,Curva;Interseção de Vias,Não,Crescente
397,Garoa/Chuvisco,Múltipla,Reta,Sim,Decrescente
398,Céu Claro,Simples,Aclive,Não,Decrescente
399,Chuva,Simples,Declive;Reta;Ponte,Sim,Decrescente
400,Sol,Simples,Reta;Declive,Sim,Decrescente
401,Sol,Simples,Curva,Não,Crescente
402,Céu Claro,Simples,Aclive;Reta;Rotatória,Sim,Crescente
403,Chuva,Dupla,Curva;Declive,Sim,Decrescente
404,Céu Claro,Simples,Interseção de Vias,Sim,Decrescente
405,Sol,Dupla,Curva,Não,Decrescente
406,Ignorado,Simples,Curva;Ponte,Não,Crescente
407,Sol,Múltipla,Reta,Sim,Decrescente
408,Céu Claro,Simples,Interseção de Vias;Reta,Não,Crescente
409,Céu Claro,Dupla,Declive;Reta,Sim,Decrescente
410,Céu Claro,Dupla,Reta;Ponte;Aclive,Não,Decrescente
411,Sol,Dupla,Interseção de Vias;Reta,Sim,Decrescente
412,Nublado,Múltipla,Aclive;Reta;Viaduto,Sim,Decrescente
413,Nublado,Dupla,Reta;Ponte,Não,Decrescente
414,Céu Claro,Dupla,Curva;Aclive,Não,Decrescente
415,Nevoeiro/Neblina,Simples,Reta,Não,Decrescente
416,Céu Claro,Múltipla,Interseção de Vias;Reta,Sim,Crescente
417,Céu Claro,Múltipla,Reta;Viaduto,Sim,Crescente
418,Sol,Simples,Curva;Interseção de Vias,Sim,Crescente
419,Chuva,Simples,Interseção de Vias,Sim,Decrescente
420,Céu Claro,Dupla,Retorno Regulamentado;Curva,Sim,Decrescente
421,Chuva,Simples,Aclive,Não,Decrescente
422,Sol,Múltipla,Ponte;Reta,Não,Decrescente
423,Garoa/Chuvisco,Dupla,Curva;Declive,Não,Crescente
424,Nublado,Simples,Declive,Não,Decrescente
425,Nevoeiro/Neblina,Simples,Aclive;Reta,Não,Crescente
426,Nevoeiro/Neblina,Simples,Declive;Retorno Regulamentado;Interseção de Vias;Rotatória;Desvio Temporário,Não,Crescente
427,Sol,Dupla,Curva;Aclive,Não,Crescente
428,Céu Claro,Simples,Interseção de Vias;Rotatória,Não,Crescente
429,Céu Claro,Dupla,Em Obras;Declive;Curva,Não,Crescente
430,Céu Claro,Dupla,Reta;Em Obras,Sim,Crescente
431,Céu Claro,Simples,Retorno Regulamentado;Reta,Não,Crescente
432,Céu Claro,Simples,Viaduto;Reta,Sim,Crescente
433,Céu Claro,Múltipla,Em Obras;Reta,Sim,Crescente
434,Ignorado,Dupla,Reta,Não,Crescente
435,Nublado,Dupla,Desvio Temporário;Reta;Retorno Regulamentado,Não,Crescente
436,Garoa/Chuvisco,Simples,Curva,Sim,Crescente
437,Sol,Dupla,Aclive;Curva,Não,Decrescente
438,Céu Claro,Dupla,Viaduto,Não,Decrescente
439,Nublado,Simples,Curva;Declive,Sim,Crescente
440,Céu Claro,Dupla,Viaduto,Não,Crescente
441,Chuva,Dupla,Retorno Regulamentado;Reta,Sim,Decrescente
442,Nublado,Múltipla,Interseção de Vias;Viaduto,Não,Decrescente
443,Ignorado,Simples,Curva;Declive,Não,Decrescente
444,Céu Claro,Dupla,Em Obras;Reta;Ponte,Sim,Crescente
445,Céu Claro,Dupla,Declive,Não,Crescente
446,Garoa/Chuvisco,Simples,Reta;Interseção de Vias,Sim,Crescente
447,Garoa/Chuvisco,Simples,Declive;Curva,Não,Decrescente
448,Céu Claro,Dupla,Reta;Declive,Sim,Decrescente
449,Nevoeiro/Neblina,Simples,Curva,Não,Crescente
450,Nublado,Dupla,Declive;Curva,Não,Decrescente
451,Nublado,Simples,Reta;Interseção de Vias,Sim,Crescente
452,Céu Claro,Dupla,Aclive;Reta;Ponte,Não,Crescente
