id_tipo_acidente,tipo_acidente,causa_acidente,classificacao_acidente
30,Colisão traseira,Reação tardia ou ineficiente do condutor,Com Vítimas Fatais
31,Colisão frontal,Demais falhas mecânicas ou elétricas,Com Vítimas Fatais
32,Queda de ocupante de veículo,Pedestre andava na pista,Com Vítimas Feridas
33,Colisão lateral sentido oposto,Reação tardia ou ineficiente do condutor,Sem Vítimas
34,Colisão frontal,Ultrapassagem Indevida,Com Vítimas Feridas
35,Saída de leito carroçável,Acumulo de água sobre o pavimento,Com Vítimas Feridas
36,Colisão traseira,Manobra de mudança de faixa,Sem Vítimas
37,Engavetamento,Ausência de reação do condutor,Com Vítimas Feridas
38,Derramamento de carga,Carga excessiva e/ou mal acondicionada,Com Vítimas Feridas
39,Tombamento,Curva acentuada,Com Vítimas Feridas
40,Colisão lateral sentido oposto,Área urbana sem a presença de local apropriado para a travessia de pedestres,Com Vítimas Feridas
41,Colisão lateral mesmo sentido,Ausência de reação do condutor,Com Vítimas Feridas
42,Colisão com objeto,Ausência de reação do condutor,Com Vítimas Feridas
43,Colisão transversal,Desrespeitar a preferência no cruzamento,Com Vítimas Feridas
44,Colisão traseira,Estacionar ou parar em local proibido,Com Vítimas Fatais
45,Colisão frontal,Ultrapassagem Indevida,Com Vítimas Fatais
46,Colisão com objeto,Velocidade Incompatível,Com Vítimas Feridas
47,Colisão traseira,Demais falhas mecânicas ou elétricas,Com Vítimas Feridas
48,Tombamento,Demais falhas na via,Sem Vítimas
49,Queda de ocupante de veículo,Condutor deixou de manter distância do veículo da frente,Com Vítimas Fatais
50,Colisão traseira,Manobra de mudança de faixa,Com Vítimas Feridas
51,Colisão frontal,Transitar na contramão,Com Vítimas Feridas
52,Saída de leito carroçável,Manobra de mudança de faixa,Com Vítimas Feridas
53,Tombamento,Demais falhas mecânicas ou elétricas,Com Vítimas Feridas
54,Colisão lateral sentido oposto,Ingestão de álcool pelo condutor,Com Vítimas Feridas
55,Queda de ocupante de veículo,Ausência de reação do condutor,Com Vítimas Feridas
56,Colisão traseira,Ausência de reação do condutor,Com Vítimas Fatais
57,Colisão lateral sentido oposto,Ausência de reação do condutor,Com Vítimas Fatais
58,Colisão frontal,Condutor Dormindo,Sem Vítimas
59,Colisão traseira,Acessar a via sem observar a presença dos outros veículos,Sem Vítimas
60,Saída de leito carroçável,Pista Escorregadia,Com Vítimas Feridas
61,Colisão transversal,Reação tardia ou ineficiente do condutor,Com Vítimas Feridas
62,Colisão lateral sentido oposto,Chuva,Com Vítimas Feridas
63,Engavetamento,Demais falhas mecânicas ou elétricas,Com Vítimas Feridas
64,Queda de ocupante de veículo,Acumulo de água sobre o pavimento,Com Vítimas Fatais
65,Colisão transversal,Acessar a via sem observar a presença dos outros veículos,Com Vítimas Feridas
66,Colisão transversal,Ausência de reação do condutor,Sem Vítimas
67,Colisão lateral mesmo sentido,Transitar no Acostamento,Sem Vítimas
68,Engavetamento,Condutor deixou de manter distância do veículo da frente,Sem Vítimas
69,Colisão traseira,Condutor deixou de manter distância do veículo da frente,Sem Vítimas
70,Atropelamento de Pedestre,Pedestre - Ingestão de álcool/ substâncias psicoativas,Com Vítimas Fatais
71,Capotamento,Ausência de reação do condutor,Com Vítimas Feridas
72,Colisão transversal,Ausência de reação do condutor,Com Vítimas Feridas
73,Colisão transversal,Acessar a via sem observar a presença dos outros veículos,Com Vítimas Fatais
74,Atropelamento de Pedestre,Pedestre andava na pista,Com Vítimas Feridas
75,Queda de ocupante de veículo,Afundamento ou ondulação no pavimento,Com Vítimas Feridas
76,Colisão lateral mesmo sentido,Ausência de reação do condutor,Sem Vítimas
77,Saída de leito carroçável,Velocidade Incompatível,Com Vítimas Feridas
78,Colisão frontal,Acumulo de água sobre o pavimento,Com Vítimas Feridas
79,Saída de leito carroçável,Reação tardia ou ineficiente do condutor,Com Vítimas Fatais
80,Colisão lateral sentido oposto,Reação tardia ou ineficiente do condutor,Com Vítimas Feridas
81,Colisão lateral mesmo sentido,Reação tardia ou ineficiente do condutor,Com Vítimas Feridas
82,Colisão com objeto,Manobra de mudança de faixa,Sem Vítimas
83,Atropelamento de Animal,Animais na Pista,Com Vítimas Feridas
84,Colisão lateral mesmo sentido,Demais falhas mecânicas ou elétricas,Com Vítimas Feridas
85,Engavetamento,Condutor deixou de manter distância do veículo da frente,Com Vítimas Feridas
86,Tombamento,Reação tardia ou ineficiente do condutor,Sem Vítimas
87,Saída de leito carroçável,Demais falhas mecânicas ou elétricas,Com Vítimas Feridas
88,Colisão lateral mesmo sentido,Frear bruscamente,Com Vítimas Feridas
89,Colisão lateral sentido oposto,Ultrapassagem Indevida,Com Vítimas Feridas
90,Colisão transversal,Ultrapassagem Indevida,Com Vítimas Feridas
91,Colisão transversal,Acessar a via sem observar a presença dos outros veículos,Sem Vítimas
92,Colisão traseira,Condutor Dormindo,Com Vítimas Feridas
93,Colisão frontal,Demais falhas mecânicas ou elétricas,Com Vítimas Feridas
94,Tombamento,Ultrapassagem Indevida,Com Vítimas Feridas
95,Colisão lateral mesmo sentido,Acessar a via sem observar a presença dos outros veículos,Com Vítimas Feridas
96,Atropelamento de Pedestre,Pedestre andava na pista,Com Vítimas Fatais
97,Queda de ocupante de veículo,Afundamento ou ondulação no pavimento,Com Vítimas Fatais
98,Colisão traseira,Chuva,Com Vítimas Feridas
99,Eventos atípicos,Demais falhas mecânicas ou elétricas,Com Vítimas Feridas
100,Engavetamento,Problema com o freio,Sem Vítimas
101,Colisão com objeto,Objeto estático sobre o leito carroçável,Com Vítimas Feridas
102,Atropelamento de Pedestre,Pedestre cruzava a pista fora da faixa,Com Vítimas Feridas
103,Saída de leito carroçável,Mal súbito do condutor,Com Vítimas Feridas
104,Colisão lateral mesmo sentido,Ingestão de álcool pelo condutor,Sem Vítimas
105,Capotamento,Reação tardia ou ineficiente do condutor,Com Vítimas Feridas
106,Colisão transversal,Condutor deixou de manter distância do veículo da frente,Com Vítimas Feridas
107,Colisão traseira,Condutor Dormindo,Sem Vítimas
108,Queda de ocupante de veículo,Transtornos Mentais (exceto suicidio),Com Vítimas Feridas
109,Atropelamento de Pedestre,Suicídio (presumido),Com Vítimas Fatais
110,Colisão lateral mesmo sentido,Faixas de trânsito com largura insuficiente,Com Vítimas Feridas
111,Colisão lateral mesmo sentido,Conversão proibida,Com Vítimas Feridas
112,Saída de leito carroçável,Frear bruscamente,Sem Vítimas
113,Colisão com objeto,Demais falhas mecânicas ou elétricas,Com Vítimas Feridas
114,Colisão lateral mesmo sentido,Trafegar com motocicleta (ou similar) entre as faixas,Com Vítimas Fatais
115,Colisão frontal,Manobra de mudança de faixa,Com Vítimas Fatais
116,Colisão lateral mesmo sentido,Retorno proibido,Sem Vítimas
117,Colisão lateral mesmo sentido,Reação tardia ou ineficiente do condutor,Sem Vítimas
118,Colisão traseira,Velocidade Incompatível,Com Vítimas Feridas
119,Tombamento,Acumulo de óleo sobre o pavimento,Com Vítimas Feridas
120,Colisão lateral sentido oposto,Mal súbito do condutor,Com Vítimas Feridas
121,Saída de leito carroçável,Mal súbito do condutor,Sem Vítimas
122,Colisão traseira,Demais falhas na via,Com Vítimas Feridas
123,Colisão traseira,Condutor deixou de manter distância do veículo da frente,Com Vítimas Fatais
124,Saída de leito carroçável,Acessar a via sem observar a presença dos outros veículos,Com Vítimas Feridas
125,Atropelamento de Pedestre,Ausência de reação do condutor,Com Vítimas Feridas
126,Saída de leito carroçável,Chuva,Sem Vítimas
127,Queda de ocupante de veículo,Demais falhas mecânicas ou elétricas,Com Vítimas Feridas
128,Tombamento,Ausência de reação do condutor,Com Vítimas Fatais
129,Eventos atípicos,Acostamento em desnível,Com Vítimas Feridas
130,Colisão com objeto,Mal súbito do condutor,Com Vítimas Feridas
131,Colisão traseira,Trafegar com motocicleta (ou similar) entre as faixas,Com Vítimas Fatais
132,Saída de leito carroçável,Chuva,Com Vítimas Feridas
133,Saída de leito carroçável,Frear bruscamente,Com Vítimas Feridas
134,Colisão transversal,Demais falhas mecânicas ou elétricas,Com Vítimas Feridas
135,Colisão com objeto,Carga excessiva e/ou mal acondicionada,Com Vítimas Feridas
136,Colisão transversal,Trafegar com motocicleta (ou similar) entre as faixas,Com Vítimas Feridas
137,Colisão lateral mesmo sentido,Condutor deixou de manter distância do veículo da frente,Com Vítimas Feridas
138,Colisão frontal,Ausência de reação do condutor,Com Vítimas Fatais
139,Colisão transversal,Reação tardia ou ineficiente do condutor,Com Vítimas Fatais
140,Colisão lateral sentido oposto,Transitar na contramão,Sem Vítimas
141,Capotamento,Condutor Dormindo,Com Vítimas Feridas
142,Colisão traseira,Ingestão de álcool pelo condutor,Com Vítimas Feridas
143,Colisão frontal,Avarias e/ou desgaste excessivo no pneu,Com Vítimas Feridas
144,Colisão transversal,Transitar na contramão,Com Vítimas Fatais
145,Atropelamento de Pedestre,Pedestre cruzava a pista fora da faixa,Com Vítimas Fatais
146,Tombamento,Condutor Dormindo,Sem Vítimas
147,Colisão lateral mesmo sentido,Condutor Dormindo,Com Vítimas Feridas
148,Colisão frontal,Pista Escorregadia,Com Vítimas Feridas
149,Saída de leito carroçável,Ausência de reação do condutor,Sem Vítimas
150,Saída de leito carroçável,Falta de acostamento,Com Vítimas Feridas
151,Atropelamento de Pedestre,Entrada inopinada do pedestre,Com Vítimas Fatais
152,Colisão frontal,Velocidade Incompatível,Com Vítimas Fatais
153,Engavetamento,Velocidade Incompatível,Com Vítimas Feridas
154,Colisão frontal,Acesso irregular,Com Vítimas Feridas
155,Tombamento,Reação tardia ou ineficiente do condutor,Com Vítimas Fatais
156,Colisão lateral mesmo sentido,Velocidade Incompatível,Com Vítimas Feridas
157,Capotamento,Velocidade Incompatível,Com Vítimas Fatais
158,Tombamento,Chuva,Sem Vítimas
159,Saída de leito carroçável,Pista Escorregadia,Sem Vítimas
160,Colisão traseira,Frear bruscamente,Com Vítimas Feridas
161,Colisão lateral sentido oposto,Ausência de reação do condutor,Com Vítimas Feridas
162,Colisão com objeto,Reação tardia ou ineficiente do condutor,Com Vítimas Fatais
163,Colisão frontal,Chuva,Com Vítimas Feridas
164,Colisão com objeto,Condutor deixou de manter distância do veículo da frente,Com Vítimas Feridas
165,Colisão transversal,Velocidade Incompatível,Com Vítimas Feridas
166,Colisão lateral mesmo sentido,Condutor deixou de manter distância do veículo da frente,Sem Vítimas
167,Colisão transversal,Ingestão de álcool pelo condutor,Sem Vítimas
168,Colisão lateral sentido oposto,Chuva,Com Vítimas Fatais
169,Colisão transversal,Conversão proibida,Com Vítimas Feridas
170,Colisão com objeto,Pista Escorregadia,Com Vítimas Feridas
171,Tombamento,Condutor Dormindo,Com Vítimas Feridas
172,Tombamento,Acostamento em desnível,Sem Vítimas
173,Tombamento,Carga excessiva e/ou mal acondicionada,Com Vítimas Feridas
174,Capotamento,Curva acentuada,Com Vítimas Fatais
175,Tombamento,Demais Fenômenos da natureza,Com Vítimas Feridas
176,Colisão traseira,Ultrapassagem Indevida,Com Vítimas Fatais
177,Saída de leito carroçável,Falta de elemento de contenção que evite a saída do leito carroçável,Sem Vítimas
178,Colisão lateral sentido oposto,Condutor Dormindo,Com Vítimas Feridas
179,Colisão traseira,Ultrapassagem Indevida,Com Vítimas Feridas
180,Colisão lateral sentido oposto,Velocidade Incompatível,Sem Vítimas
181,Tombamento,Afundamento ou ondulação no pavimento,Com Vítimas Feridas
182,Tombamento,Frear bruscamente,Sem Vítimas
183,Colisão lateral sentido oposto,Suicídio (presumido),Com Vítimas Feridas
184,Colisão lateral sentido oposto,Ausência de reação do condutor,Sem Vítimas
185,Tombamento,Demais falhas mecânicas ou elétricas,Sem Vítimas
186,Saída de leito carroçável,Acostamento em desnível,Com Vítimas Feridas
187,Colisão frontal,Condutor Dormindo,Com Vítimas Feridas
188,Saída de leito carroçável,Ingestão de álcool pelo condutor,Sem Vítimas
189,Colisão transversal,Ausência de reação do condutor,Com Vítimas Fatais
190,Saída de leito carroçável,Velocidade Incompatível,Com Vítimas Fatais
191,Colisão lateral mesmo sentido,Acessar a via sem observar a presença dos outros veículos,Sem Vítimas
192,Colisão frontal,Condutor Dormindo,Com Vítimas Fatais
193,Saída de leito carroçável,Condutor deixou de manter distância do veículo da frente,Com Vítimas Feridas
194,Colisão lateral mesmo sentido,Trafegar com motocicleta (ou similar) entre as faixas,Com Vítimas Feridas
195,Colisão traseira,Estacionar ou parar em local proibido,Com Vítimas Feridas
196,Colisão frontal,Reação tardia ou ineficiente do condutor,Com Vítimas Fatais
197,Colisão com objeto,Manobra de mudança de faixa,Com Vítimas Feridas
198,Engavetamento,Acessar a via sem observar a presença dos outros veículos,Com Vítimas Fatais
199,Colisão com objeto,Demais falhas mecânicas ou elétricas,Sem Vítimas
200,Capotamento,Demais falhas mecânicas ou elétricas,Com Vítimas Feridas
201,Capotamento,Velocidade Incompatível,Com Vítimas Feridas
202,Queda de ocupante de veículo,Manobra de mudança de faixa,Com Vítimas Fatais
203,Saída de leito carroçável,Acumulo de água sobre o pavimento,Sem Vítimas
204,Colisão lateral mesmo sentido,Deficiência do Sistema de Iluminação/Sinalização,Com Vítimas Feridas
205,Saída de leito carroçável,Curva acentuada,Com Vítimas Feridas
206,Colisão frontal,Chuva,Com Vítimas Fatais
207,Colisão com objeto,Demais Fenômenos da natureza,Com Vítimas Feridas
208,Saída de leito carroçável,Problema com o freio,Com Vítimas Feridas
209,Tombamento,Velocidade Incompatível,Sem Vítimas
210,Saída de leito carroçável,Demais falhas na via,Com Vítimas Feridas
211,Engavetamento,Problema com o freio,Com Vítimas Feridas
212,Colisão lateral sentido oposto,Velocidade Incompatível,Com Vítimas Feridas
213,Colisão traseira,Problema com o freio,Com Vítimas Feridas
214,Colisão lateral mesmo sentido,Mal súbito do condutor,Com Vítimas Feridas
215,Saída de leito carroçável,Reação tardia ou ineficiente do condutor,Sem Vítimas
216,Atropelamento de Pedestre,Ausência de sinalização,Com Vítimas Fatais
217,Colisão transversal,Manobra de mudança de faixa,Sem Vítimas
218,Colisão frontal,Manobra de mudança de faixa,Com Vítimas Feridas
219,Eventos atípicos,Demais falhas mecânicas ou elétricas,Sem Vítimas
220,Colisão lateral sentido oposto,Frear bruscamente,Com Vítimas Feridas
221,Colisão traseira,Ultrapassagem Indevida,Sem Vítimas
222,Colisão lateral mesmo sentido,Ingestão de álcool pelo condutor,Com Vítimas Feridas
223,Colisão traseira,Demais Fenômenos da natureza,Com Vítimas Feridas
224,Saída de leito carroçável,Velocidade Incompatível,Sem Vítimas
225,Colisão transversal,Manobra de mudança de faixa,Com Vítimas Feridas
226,Colisão transversal,Avarias e/ou desgaste excessivo no pneu,Com Vítimas Feridas
227,Colisão transversal,Transitar na contramão,Com Vítimas Feridas
228,Tombamento,Avarias e/ou desgaste excessivo no pneu,Sem Vítimas
229,Colisão traseira,Conversão proibida,Com Vítimas Feridas
230,Engavetamento,Reação tardia ou ineficiente do condutor,Com Vítimas Feridas
231,Colisão lateral sentido oposto,Manobra de mudança de faixa,Com Vítimas Fatais
232,Colisão traseira,Estacionar ou parar em local proibido,Sem Vítimas
233,Tombamento,Acessar a via sem observar a presença dos outros veículos,Com Vítimas Feridas
234,Colisão com objeto,Entrada inopinada do pedestre,Com Vítimas Feridas
235,Colisão transversal,Reação tardia ou ineficiente do condutor,Sem Vítimas
236,Engavetamento,Condutor usando celular,Com Vítimas Feridas
237,Colisão traseira,Falta de acostamento,Com Vítimas Feridas
238,Colisão frontal,Transitar na contramão,Sem Vítimas
239,Colisão transversal,Condutor desrespeitou a iluminação vermelha do semáforo,Com Vítimas Fatais
240,Atropelamento de Pedestre,Transitar no Acostamento,Com Vítimas Fatais
241,Tombamento,Demais falhas na via,Com Vítimas Feridas
242,Saída de leito carroçável,Ultrapassagem Indevida,Sem Vítimas
243,Tombamento,Avarias e/ou desgaste excessivo no pneu,Com Vítimas Feridas
244,Colisão com objeto,Condutor Dormindo,Com Vítimas Feridas
245,Tombamento,Ingestão de álcool pelo condutor,Sem Vítimas
246,Colisão lateral sentido oposto,Ingestão de álcool pelo condutor,Sem Vítimas
247,Eventos atípicos,Ingestão de álcool pelo condutor,Sem Vítimas
248,Colisão transversal,Retorno proibido,Com Vítimas Feridas
249,Eventos atípicos,Mal súbito do condutor,Sem Vítimas
250,Colisão lateral mesmo sentido,Acesso irregular,Com Vítimas Feridas
251,Colisão com objeto,Reação tardia ou ineficiente do condutor,Sem Vítimas
252,Colisão lateral mesmo sentido,Reação tardia ou ineficiente do condutor,Com Vítimas Fatais
253,Tombamento,Condutor Dormindo,Com Vítimas Fatais
254,Tombamento,Acostamento em desnível,Com Vítimas Feridas
255,Engavetamento,Frear bruscamente,Sem Vítimas
256,Colisão lateral sentido oposto,Transitar na contramão,Com Vítimas Fatais
257,Derramamento de carga,Reação tardia ou ineficiente do condutor,Sem Vítimas
258,Derramamento de carga,Ingestão de álcool pelo condutor,Sem Vítimas
259,Colisão transversal,Ingestão de álcool pelo condutor,Com Vítimas Feridas
260,Colisão traseira,Acesso irregular,Com Vítimas Feridas
261,Colisão traseira,Transitar no Acostamento,Com Vítimas Feridas
262,Colisão traseira,Pista Escorregadia,Sem Vítimas
263,Saída de leito carroçável,Ultrapassagem Indevida,Com Vítimas Fatais
264,Colisão lateral mesmo sentido,Ausência de sinalização,Com Vítimas Feridas
265,Saída de leito carroçável,Condutor Dormindo,Sem Vítimas
266,Tombamento,Objeto estático sobre o leito carroçável,Com Vítimas Fatais
267,Tombamento,Ausência de sinalização,Com Vítimas Feridas
268,Colisão lateral sentido oposto,Curva acentuada,Com Vítimas Feridas
269,Tombamento,Chuva,Com Vítimas Feridas
270,Queda de ocupante de veículo,Ultrapassagem Indevida,Com Vítimas Feridas
271,Colisão com objeto,Problema com o freio,Com Vítimas Feridas
272,Colisão com objeto,Ausência de reação do condutor,Com Vítimas Fatais
273,Colisão lateral mesmo sentido,Ingestão de substâncias psicoativas pelo condutor,Com Vítimas Feridas
274,Colisão com objeto,Curva acentuada,Com Vítimas Feridas
275,Eventos atípicos,Demais falhas mecânicas ou elétricas,Com Vítimas Fatais
276,Engavetamento,Avarias e/ou desgaste excessivo no pneu,Com Vítimas Feridas
277,Colisão transversal,Entrada inopinada do pedestre,Sem Vítimas
278,Colisão transversal,Velocidade Incompatível,Sem Vítimas
279,Colisão lateral sentido oposto,Demais falhas mecânicas ou elétricas,Sem Vítimas
280,Engavetamento,Reação tardia ou ineficiente do condutor,Sem Vítimas
281,Tombamento,Declive acentuado,Com Vítimas Feridas
282,Colisão frontal,Condutor usando celular,Com Vítimas Feridas
283,Atropelamento de Pedestre,Problema com o freio,Com Vítimas Feridas
284,Colisão com objeto,Transitar no Acostamento,Com Vítimas Fatais
285,Saída de leito carroçável,Demais falhas mecânicas ou elétricas,Sem Vítimas
286,Colisão frontal,Acessar a via sem observar a presença dos outros veículos,Com Vítimas Feridas
287,Colisão lateral mesmo sentido,Transitar no Acostamento,Com Vítimas Feridas
288,Tombamento,Manobra de mudança de faixa,Com Vítimas Feridas
289,Colisão traseira,Ingestão de álcool pelo condutor,Sem Vítimas
290,Colisão com objeto,Frear bruscamente,Com Vítimas Feridas
291,Colisão traseira,Participar de racha,Com Vítimas Feridas
292,Colisão frontal,Acessar a via sem observar a presença dos outros veículos,Com Vítimas Fatais
293,Colisão frontal,Reação tardia ou ineficiente do condutor,Com Vítimas Feridas
294,Colisão frontal,Ultrapassagem Indevida,Sem Vítimas
295,Derramamento de carga,Velocidade Incompatível,Sem Vítimas
296,Colisão lateral mesmo sentido,Ausência de reação do condutor,Com Vítimas Fatais
297,Colisão com objeto,Condutor deixou de manter distância do veículo da frente,Sem Vítimas
298,Colisão traseira,Desvio temporário,Sem Vítimas
299,Colisão com objeto,Demais falhas na via,Com Vítimas Feridas
300,Colisão transversal,Mal súbito do condutor,Com Vítimas Feridas
301,Colisão traseira,Velocidade Incompatível,Com Vítimas Fatais
302,Colisão traseira,Condutor usando celular,Com Vítimas Feridas
303,Saída de leito carroçável,Ingestão de álcool pelo condutor,Com Vítimas Feridas
304,Colisão traseira,Pista Escorregadia,Com Vítimas Feridas
305,Atropelamento de Pedestre,Entrada inopinada do pedestre,Com Vítimas Feridas
306,Colisão transversal,Retorno proibido,Sem Vítimas
307,Colisão transversal,Desrespeitar a preferência no cruzamento,Com Vítimas Fatais
308,Colisão lateral mesmo sentido,Acesso irregular,Sem Vítimas
309,Queda de ocupante de veículo,Frear bruscamente,Com Vítimas Feridas
310,Atropelamento de Pedestre,Demais falhas mecânicas ou elétricas,Com Vítimas Feridas
311,Colisão lateral sentido oposto,Conversão proibida,Com Vítimas Feridas
312,Colisão transversal,Acumulo de água sobre o pavimento,Com Vítimas Feridas
313,Colisão frontal,Mal súbito do condutor,Com Vítimas Feridas
314,Colisão transversal,Frear bruscamente,Sem Vítimas
315,Colisão com objeto,Sinalização mal posicionada,Com Vítimas Feridas
316,Colisão traseira,Sinalização mal posicionada,Com Vítimas Feridas
317,Saída de leito carroçável,Condutor Dormindo,Com Vítimas Fatais
318,Queda de ocupante de veículo,Reação tardia ou ineficiente do condutor,Com Vítimas Feridas
319,Saída de leito carroçável,Ultrapassagem Indevida,Com Vítimas Feridas
320,Colisão traseira,Transitar na contramão,Com Vítimas Feridas
321,Colisão lateral sentido oposto,Restrição de visibilidade em curvas horizontais,Com Vítimas Feridas
322,Tombamento,Objeto estático sobre o leito carroçável,Com Vítimas Feridas
323,Tombamento,Acumulo de água sobre o pavimento,Sem Vítimas
324,Colisão transversal,Desrespeitar a preferência no cruzamento,Sem Vítimas
325,Saída de leito carroçável,Afundamento ou ondulação no pavimento,Com Vítimas Feridas
326,Queda de ocupante de veículo,Reação tardia ou ineficiente do condutor,Com Vítimas Fatais
327,Atropelamento de Pedestre,Pedestre cruzava a pista fora da faixa,Sem Vítimas
328,Engavetamento,Ausência de reação do condutor,Com Vítimas Fatais
329,Queda de ocupante de veículo,Trafegar com motocicleta (ou similar) entre as faixas,Com Vítimas Feridas
330,Atropelamento de Pedestre,Chuva,Com Vítimas Feridas
331,Saída de leito carroçável,Pista esburacada,Com Vítimas Feridas
332,Derramamento de carga,Carga excessiva e/ou mal acondicionada,Sem Vítimas
333,Incêndio,Demais falhas mecânicas ou elétricas,Com Vítimas Feridas
334,Saída de leito carroçável,Acesso irregular,Com Vítimas Feridas
335,Colisão transversal,Acesso irregular,Com Vítimas Feridas
336,Saída de leito carroçável,Faixas de trânsito com largura insuficiente,Com Vítimas Feridas
337,Capotamento,Reação tardia ou ineficiente do condutor,Com Vítimas Fatais
338,Colisão traseira,Ausência de sinalização,Sem Vítimas
339,Colisão traseira,Trafegar com motocicleta (ou similar) entre as faixas,Com Vítimas Feridas
340,Colisão traseira,Demais falhas mecânicas ou elétricas,Sem Vítimas
341,Colisão frontal,Acessar a via sem observar a presença dos outros veículos,Sem Vítimas
342,Incêndio,Problema com o freio,Sem Vítimas
343,Colisão lateral mesmo sentido,Transitar na contramão,Com Vítimas Feridas
344,Colisão lateral mesmo sentido,Demais falhas mecânicas ou elétricas,Sem Vítimas
345,Atropelamento de Pedestre,Reação tardia ou ineficiente do condutor,Com Vítimas Feridas
346,Colisão frontal,Acesso irregular,Com Vítimas Fatais
347,Saída de leito carroçável,Carga excessiva e/ou mal acondicionada,Com Vítimas Feridas
348,Colisão transversal,Avarias e/ou desgaste excessivo no pneu,Com Vítimas Fatais
349,Colisão transversal,Trafegar com motocicleta (ou similar) entre as faixas,Com Vítimas Fatais
350,Colisão traseira,Entrada inopinada do pedestre,Com Vítimas Feridas
351,Colisão com objeto,Objeto estático sobre o leito carroçável,Sem Vítimas
352,Colisão lateral sentido oposto,Reação tardia ou ineficiente do condutor,Com Vítimas Fatais
353,Queda de ocupante de veículo,Acumulo de óleo sobre o pavimento,Com Vítimas Feridas
354,Colisão frontal,Mal súbito do condutor,Com Vítimas Fatais
355,Colisão lateral sentido oposto,Ingestão de álcool pelo condutor,Com Vítimas Fatais
356,Atropelamento de Pedestre,Velocidade Incompatível,Com Vítimas Fatais
357,Colisão lateral sentido oposto,Retorno proibido,Com Vítimas Feridas
358,Incêndio,Avarias e/ou desgaste excessivo no pneu,Sem Vítimas
359,Saída de leito carroçável,Ausência de reação do condutor,Com Vítimas Fatais
360,Colisão traseira,Acesso irregular,Com Vítimas Fatais
361,Colisão lateral sentido oposto,Velocidade Incompatível,Com Vítimas Fatais
362,Saída de leito carroçável,Condutor usando celular,Com Vítimas Feridas
363,Engavetamento,Ausência de reação do condutor,Sem Vítimas
364,Colisão lateral sentido oposto,Problema com o freio,Com Vítimas Feridas
365,Capotamento,Curva acentuada,Com Vítimas Feridas
366,Colisão frontal,Condutor deixou de manter distância do veículo da frente,Com Vítimas Feridas
367,Colisão lateral sentido oposto,Ultrapassagem Indevida,Sem Vítimas
368,Colisão com objeto,Condutor Dormindo,Sem Vítimas
369,Atropelamento de Animal,Animais na Pista,Sem Vítimas
370,Atropelamento de Pedestre,Ausência de reação do condutor,Com Vítimas Fatais
371,Tombamento,Avarias e/ou desgaste excessivo no pneu,Com Vítimas Fatais
372,Tombamento,Mal súbito do condutor,Com Vítimas Feridas
373,Colisão transversal,Chuva,Com Vítimas Feridas
374,Colisão lateral mesmo sentido,Pista Escorregadia,Com Vítimas Feridas
375,Colisão lateral sentido oposto,Demais falhas mecânicas ou elétricas,Com Vítimas Feridas
376,Colisão frontal,Ingestão de álcool pelo condutor,Sem Vítimas
377,Engavetamento,Ausência de sinalização,Com Vítimas Feridas
378,Colisão transversal,Sistema de drenagem ineficiente,Com Vítimas Feridas
379,Colisão lateral mesmo sentido,Desrespeitar a preferência no cruzamento,Com Vítimas Feridas
